team_id,team,team_provider,player,status,short_id,provider_id,position,tournament_season_id,team_2627,team_id_26-27,team_provider_id_26-27,change_type,source_url,confidence,notes
bdb20011-d913-4688-b8fa-38a2a96c22b2,Dragons RFC,3100,James Talamai,ACTIVE,8108,900949,hooker,b314ec41-b6b0-4274-a98f-4a675628d202,Dragons RFC,bdb20011-d913-4688-b8fa-38a2a96c22b2,3100,stay,,,
ee3c51c4-b2f3-42ba-9434-37c4455d9276,DHL Stormers,99,Divan Fuller,ACTIVE,8217,57147,loose-forward,b314ec41-b6b0-4274-a98f-4a675628d202,DHL Stormers,ee3c51c4-b2f3-42ba-9434-37c4455d9276,99,stay,,,
9e46b555-7bd7-4113-9005-641caab27c3c,Ulster Rugby,2450,Scott Wilson,ACTIVE,7753,43929,prop,b314ec41-b6b0-4274-a98f-4a675628d202,Ulster Rugby,9e46b555-7bd7-4113-9005-641caab27c3c,2450,stay,,,
6e09f000-1b71-426f-b349-2c528cba8584,Vodacom Bulls,97,Merwe Olivier,ACTIVE,7771,44200,lock,b314ec41-b6b0-4274-a98f-4a675628d202,Vodacom Bulls,6e09f000-1b71-426f-b349-2c528cba8584,97,stay,,,
20aa34f7-3d7a-4cf4-be95-70ca236af7a0,Bath Rugby,1000,Jacques du Plessis,ACTIVE,6917,20652,lock,9233192a-bfed-489b-b224-5c9e02f587de,Bath Rugby,20aa34f7-3d7a-4cf4-be95-70ca236af7a0,1000,stay,,,
17751c9c-264e-464e-adc8-1468fd75dbef,Newcastle Red Bull,1350,Freddie Clarke,ACTIVE,6864,19574,lock,9233192a-bfed-489b-b224-5c9e02f587de,,,,departed,https://en.wikipedia.org/wiki/List_of_2026%E2%80%9327_Premiership_Rugby_transfers ; https://all.rugby/transfers/premiership,Medium,Released — destination TBC
6959008c-ebd2-49ed-b1db-29a124e3e922,Harlequins,1150,Tom Lawday,ACTIVE,7212,27117,loose-forward,9233192a-bfed-489b-b224-5c9e02f587de,,,,departed,https://en.wikipedia.org/wiki/List_of_2026%E2%80%9327_Premiership_Rugby_transfers ; https://all.rugby/transfers/premiership,Medium,Released — destination TBC
3bb58f66-38c1-4f9c-adff-0ac33a01533b,Saracens,1500,Toby Knight,ACTIVE,7668,39759,loose-forward,9233192a-bfed-489b-b224-5c9e02f587de,Saracens,3bb58f66-38c1-4f9c-adff-0ac33a01533b,1500,stay,,,
af6ad454-5636-4711-be6d-1cb29078219a,Lions,63,Keagan Smith,ACTIVE,7757,44158,outside-back,b314ec41-b6b0-4274-a98f-4a675628d202,Lions,af6ad454-5636-4711-be6d-1cb29078219a,63,stay,,,
dc118c04-038a-46e7-a805-298fbe0d2e66,Leinster Rugby,2300,Rabah Slimani,ACTIVE,8114,9776,prop,b314ec41-b6b0-4274-a98f-4a675628d202,,,,departed,https://en.wikipedia.org/wiki/List_of_2026%E2%80%9327_United_Rugby_Championship_transfers,Medium,To Toulon
ee3c51c4-b2f3-42ba-9434-37c4455d9276,DHL Stormers,99,Daniel du Plessis,ACTIVE,7052,23364,centre,b314ec41-b6b0-4274-a98f-4a675628d202,,,,departed,https://en.wikipedia.org/wiki/List_of_2026%E2%80%9327_United_Rugby_Championship_transfers,Medium,To Bordeaux
e2ae68bd-54f2-4e38-89fc-53dcce5add02,Hollywoodbets Sharks,98,George Whitehead,ACTIVE,8288,20530,fly-half,b314ec41-b6b0-4274-a98f-4a675628d202,Hollywoodbets Sharks,e2ae68bd-54f2-4e38-89fc-53dcce5add02,98,stay,,,
5fdcc251-1a9e-40cf-9767-a5271ff4dbc0,Edinburgh Rugby,1950,Charlie Shiel,ACTIVE,7097,24458,scrum-half,b314ec41-b6b0-4274-a98f-4a675628d202,,,,departed,https://en.wikipedia.org/wiki/List_of_2026%E2%80%9327_United_Rugby_Championship_transfers,Medium,Released — destination TBC
473a715d-80f5-4707-a8e2-52902fadc9bc,Sale Sharks,1450,Raffi Quirke,ACTIVE,7477,35531,scrum-half,9233192a-bfed-489b-b224-5c9e02f587de,Newcastle Red Bull,17751c9c-264e-464e-adc8-1468fd75dbef,1350,move,https://en.wikipedia.org/wiki/List_of_2026%E2%80%9327_Premiership_Rugby_transfers ; https://all.rugby/transfers/premiership,Medium,
6959008c-ebd2-49ed-b1db-29a124e3e922,Harlequins,1150,Seb Driscoll,ACTIVE,7856,57289,loose-forward,9233192a-bfed-489b-b224-5c9e02f587de,Harlequins,6959008c-ebd2-49ed-b1db-29a124e3e922,1150,stay,,,
17751c9c-264e-464e-adc8-1468fd75dbef,Newcastle Red Bull,1350,Cameron Neild,ACTIVE,6933,20915,loose-forward,9233192a-bfed-489b-b224-5c9e02f587de,,,,departed,https://en.wikipedia.org/wiki/List_of_2026%E2%80%9327_Premiership_Rugby_transfers ; https://all.rugby/transfers/premiership,Medium,Released — destination TBC
e2ae68bd-54f2-4e38-89fc-53dcce5add02,Hollywoodbets Sharks,98,Cameron Dawson,ACTIVE,8201,35278,prop,b314ec41-b6b0-4274-a98f-4a675628d202,Hollywoodbets Sharks,e2ae68bd-54f2-4e38-89fc-53dcce5add02,98,stay,,,
